epgroup_name,epgroup_abbr,person_official_id,person_name,membership_type,start_date,end_date
Renew Europe Group,RE,129073,Urmas PAET,Member,2019-07-02,
Renew Europe Group,RE,125038,Maite PAGAZAURTUNDÚA,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,190099,Rory PALMER,Member,2019-07-02,2020-01-31
Identity and Democracy Group,ID,99283,Alessandro PANZA,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,124692,Demetris PAPADAKIS,Member,2019-07-02,
Non-attached Members,NI,125093,Kostas PAPADAKIS,Member,2019-07-02,
Group of the European United Left,GUE/NGL,28586,Dimitrios PAPADIMOULIS,Member,2019-07-02,2020-12-17
The Left group in the European Parliament,GUE/NGL,28586,Dimitrios PAPADIMOULIS,Member,2020-12-18,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,244571,Nikos PAPANDREOU,Member,2023-05-03,
Group of the European People's Party,EPP,36392,Aldo PATRICIELLO,Member,2019-07-02,
Non-attached Members,NI,197620,Matthew PATTEN,Member,2019-07-02,2020-01-31
Group of the Greens/European Free Alliance,Greens/EFA,197466,Jutta PAULUS,Member,2019-07-02,
Non-attached Members,NI,124844,Piernicola PEDICINI,Member,2019-07-02,2020-12-08
Group of the Greens/European Free Alliance,Greens/EFA,124844,Piernicola PEDICINI,Member,2020-12-09,
Group of the European People's Party,EPP,197420,Kris PEETERS,Member,2019-07-02,2021-01-11
Renew Europe Group,RE,197563,Mauri PEKKARINEN,Member,2019-07-02,
Group of the Greens/European Free Alliance,Greens/EFA,197539,Mikuláš PEKSA,Member,2019-07-02,
Group of the European United Left,GUE/NGL,197527,Anne-Sophie PELLETIER,Member,2019-07-02,2020-12-17
The Left group in the European Parliament,GUE/NGL,197527,Anne-Sophie PELLETIER,Member,2020-12-18,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,197845,Tsvetelina PENKOVA,Member,2019-07-02,
Non-attached Members,NI,243979,Francesca PEPPUCCI,Member,2023-04-06,2023-04-19
Group of the European People's Party,EPP,243979,Francesca PEPPUCCI,Member,2023-04-20,
Group of the European United Left,GUE/NGL,197754,Sandra PEREIRA,Member,2019-07-02,2020-12-17
The Left group in the European Parliament,GUE/NGL,197754,Sandra PEREIRA,Member,2020-12-18,
Group of the European People's Party,EPP,197738,Lídia PEREIRA,Member,2019-07-02,
Group of the Greens/European Free Alliance,Greens/EFA,197573,Kira Marie PETER-HANSEN,Member,2019-07-02,2022-01-10
Group of the Greens/European Free Alliance,Greens/EFA,197573,Kira Marie PETER-HANSEN,Vice-Chair,2022-01-11,
Renew Europe Group,RE,124872,Morten PETERSEN,Member,2019-07-02,
Group of the Greens/European Free Alliance,Greens/EFA,197710,Alexandra Louise Rosenfield PHILLIPS,Member,2019-07-02,2020-01-31
Non-attached Members,NI,99461,Alexandra Lesley PHILLIPS,Member,2019-07-02,2020-01-31
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,124846,Pina PICIERNO,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,112744,Tonino PICULA,Member,2019-07-02,
Group of the European People's Party,EPP,28224,Markus PIEPER,Member,2019-07-02,
Group of the European People's Party,EPP,40599,Sirpa PIETIKÄINEN,Member,2019-07-02,
Non-attached Members,NI,197619,Sabrina PIGNEDOLI,Member,2019-07-02,
The Left group in the European Parliament,GUE/NGL,136236,João PIMENTA LOPES,Member,2021-07-06,
Group of the European United Left,GUE/NGL,197828,Manu PINEDA,Member,2019-07-02,2020-12-17
The Left group in the European Parliament,GUE/NGL,197828,Manu PINEDA,Member,2020-12-18,
Identity and Democracy Group,ID,197629,Maxette PIRBAKAS,Member,2019-07-02,2022-02-01
Non-attached Members,NI,197629,Maxette PIRBAKAS,Member,2022-02-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,37229,Kati PIRI,Vice-Chair,2019-07-02,2021-03-30
European Conservatives and Reformists Group,ECR,204414,Margarita DE LA PISA CARRIÓN,Member,2020-02-01,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,197590,Giuliano PISAPIA,Member,2019-07-02,
Renew Europe Group,RE,197663,Dragoş PÎSLARU,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,197732,Manuel PIZARRO,Member,2019-07-02,2022-09-09
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,38595,Rovana PLUMB,Vice-Chair,2019-07-02,
Group of the European People's Party,EPP,124704,Stanislav POLČÁK,Member,2019-07-02,
Group of the European People's Party,EPP,197404,Jessica POLFJÄRD,Member,2019-07-02,
Group of the European People's Party,EPP,197765,Peter POLLÁK,Member,2019-07-02,
Non-attached Members,NI,204443,Clara PONSATÍ OBIOLS,Member,2020-02-01,
Renew Europe Group,RE,237320,Eva Maria POPTCHEVA,Member,2022-09-15,
European Conservatives and Reformists Group,ECR,96801,Tomasz Piotr PORĘBA,Member of the Bureau,2019-07-02,
Renew Europe Group,RE,197700,Luisa PORRITT,Member,2019-07-02,2020-01-31
Group of the European People's Party,EPP,125706,Jiří POSPÍŠIL,Member,2019-07-02,
Renew Europe Group,RE,239972,Erik POULSEN,Member,2022-11-22,
European Conservatives and Reformists Group,ECR,197820,Nicola PROCACCINI,Member,2019-07-02,2023-02-13
European Conservatives and Reformists Group,ECR,197820,Nicola PROCACCINI,Co-Chair,2023-02-14,
Non-attached Members,NI,197813,Jake PUGH,Member,2019-07-02,2020-01-31
Non-attached Members,NI,202351,Carles PUIGDEMONT I CASAMAJÓ,Member,2019-07-02,
Non-attached Members,NI,197764,Miroslav RADAČOVSKÝ,Member,2019-07-02,
Group of the European People's Party,EPP,124850,Emil RADEV,Member,2019-07-02,
Group of the European People's Party,EPP,188945,Dennis RADTKE,Member,2019-07-02,
Renew Europe Group,RE,197868,Samira RAFAELA,Member,2019-07-02,
European Conservatives and Reformists Group,ECR,197544,Elżbieta RAFALSKA,Member,2019-07-02,
Group of the European People's Party,EPP,96903,Paulo RANGEL,Vice-Chair,2019-07-02,
Renew Europe Group,RE,239973,Bergur Løkke RASMUSSEN,Member,2022-11-22,
Non-attached Members,NI,197612,Annunziata Mary REES-MOGG,Member,2019-07-02,2020-01-09
European Conservatives and Reformists Group,ECR,197612,Annunziata Mary REES-MOGG,Member,2020-01-10,2020-01-31
Identity and Democracy Group,ID,197790,Luisa REGIMENTI,Member,2019-07-02,2021-06-20
Non-attached Members,NI,197790,Luisa REGIMENTI,Member,2021-06-21,2021-07-07
Group of the European People's Party,EPP,197790,Luisa REGIMENTI,Member,2021-07-08,2023-04-03
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,96998,Evelyn REGNER,Member,2019-07-02,
Group of the European United Left,GUE/NGL,197681,Sira REGO,Member,2019-07-02,2019-07-17
Group of the European United Left,GUE/NGL,197681,Sira REGO,Vice-Chair,2019-07-18,2020-12-17
The Left group in the European Parliament,GUE/NGL,197681,Sira REGO,Vice-Chair,2020-12-18,
Identity and Democracy Group,ID,197488,Guido REIL,Member,2019-07-02,
Group of the Greens/European Free Alliance,Greens/EFA,103381,Terry REINTKE,Vice-Chair,2019-07-02,2022-10-12
Group of the Greens/European Free Alliance,Greens/EFA,103381,Terry REINTKE,Co-President,2022-10-13,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,229839,René REPASI,Member,2022-02-02,
Group of the European People's Party,EPP,197413,Karlo RESSLER,Member,2019-07-02,
Non-attached Members,NI,218347,Thijs REUTEN,Member,2021-04-15,2021-04-20
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,218347,Thijs REUTEN,Member,2021-04-21,
Group of the Greens/European Free Alliance,Greens/EFA,197832,Diana RIBA I GINER,Member,2019-07-02,
Renew Europe Group,RE,4253,Frédérique RIES,Vice-Chair,2019-07-02,
Identity and Democracy Group,ID,197787,Antonio Maria RINALDI,Member,2019-07-02,
Renew Europe Group,RE,229519,Catharina RINZEMA,Member,2022-01-18,
Group of the Greens/European Free Alliance,Greens/EFA,206158,Manuela RIPA,Member,2020-07-17,
Renew Europe Group,RE,96885,Dominique RIQUET,Vice-Chair,2019-07-02,
Renew Europe Group,RE,197815,Sheila RITCHIE,Member,2019-07-02,2020-01-31
Group of the Greens/European Free Alliance,Greens/EFA,96743,Michèle RIVASI,Member,2019-07-02,
Identity and Democracy Group,ID,197615,Jérôme RIVIÈRE,Member,2019-07-02,2022-01-24
Non-attached Members,NI,197615,Jérôme RIVIÈRE,Member,2022-01-25,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,197801,Franco ROBERTI,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,125043,Inma RODRÍGUEZ-PIÑERO,Member,2019-07-02,
Group of the European United Left,GUE/NGL,197785,Eugenia RODRÍGUEZ PALOP,Member,2019-07-02,2020-12-17
The Left group in the European Parliament,GUE/NGL,197785,Eugenia RODRÍGUEZ PALOP,Member,2020-12-18,
Renew Europe Group,RE,4344,María Soraya RODRÍGUEZ RAMOS,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,197584,Sándor RÓNAI,Member,2019-07-02,
Non-attached Members,NI,197792,Daniela RONDINELLI,Member,2019-07-02,2023-01-24
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,197792,Daniela RONDINELLI,Member,2023-01-25,
European Conservatives and Reformists Group,ECR,197776,Rob ROOKEN,Member,2019-07-02,
Non-attached Members,NI,204733,Dorien ROOKMAKER,Member,2020-02-01,2021-12-07
European Conservatives and Reformists Group,ECR,204733,Dorien ROOKMAKER,Member,2021-12-08,
European Conservatives and Reformists Group,ECR,197709,Robert ROOS,Member,2019-07-02,2021-04-19
European Conservatives and Reformists Group,ECR,197709,Robert ROOS,Vice-Chair,2021-04-20,
Group of the Greens/European Free Alliance,Greens/EFA,197506,Caroline ROOSE,Member,2019-07-02,
Group of the Greens/European Free Alliance,Greens/EFA,125214,Bronis ROPĖ,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,204413,Marcos ROS SEMPERE,Member,2020-02-01,
Identity and Democracy Group,ID,243912,Maria Veronica ROSSI,Member,2023-04-06,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,96653,Katarína ROTH NEVEĎALOVÁ,Member,2022-12-30,
Identity and Democracy Group,ID,197690,André ROUGÉ,Member,2019-07-02,
Group of the Greens/European Free Alliance,Greens/EFA,197602,Catherine ROWETT,Member,2019-07-02,2020-01-31
Non-attached Members,NI,197733,Robert ROWLAND,Member,2019-07-02,2020-01-31
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,245858,Thomas RUDNER,Member,2023-07-03,
European Conservatives and Reformists Group,ECR,197773,Bert-Jan RUISSEN,Member of the Bureau,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,127096,Domènec RUIZ DEVESA,Member,2019-07-02,
European Conservatives and Reformists Group,ECR,132366,Pirkko RUOHONEN-LERNER,Member of the Bureau,2023-04-12,
European Conservatives and Reformists Group,ECR,197545,Bogdan RZOŃCA,Member,2019-07-02,
Group of the European People's Party,EPP,204368,Christian SAGARTZ,Member,2020-01-23,
Group of the European People's Party,EPP,125670,Massimiliano SALINI,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,197722,Nacho SÁNCHEZ AMOR,Member,2019-07-02,
Group of the European People's Party,EPP,24594,Anne SANDER,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,124781,Alfred SANT,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,197650,Isabel SANTOS,Member,2019-07-02,
Identity and Democracy Group,ID,197578,Silvia SARDONE,Member,2019-07-02,
Group of the European People's Party,EPP,112611,Petri SARVAMAA,Member,2019-07-02,
European Conservatives and Reformists Group,ECR,28297,Jacek SARYUSZ-WOLSKI,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,96864,David Maria SASSOLI,Member,2019-07-02,2022-01-11
Group of the Greens/European Free Alliance,Greens/EFA,197500,Mounir SATOURI,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,37312,Christel SCHALDEMOSE,Member,2019-07-02,
Group of the European People's Party,EPP,213330,Ernő SCHALLER-BAROSS,Member,2021-01-12,2021-03-04
Non-attached Members,NI,213330,Ernő SCHALLER-BAROSS,Member,2021-03-05,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,197670,Andreas SCHIEDER,Member,2019-07-02,
Group of the European United Left,GUE/NGL,190517,Martin SCHIRDEWAN,Chair,2019-07-02,2019-07-17
Group of the European United Left,GUE/NGL,190517,Martin SCHIRDEWAN,Co-Chair,2019-07-18,2020-12-17
The Left group in the European Parliament,GUE/NGL,190517,Martin SCHIRDEWAN,Co-Chair,2020-12-18,
Group of the European People's Party,EPP,197656,Simone SCHMIEDTBAUER,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,197428,Nicolas SCHMIT,Member,2019-07-02,2019-11-30
Group of the European People's Party,EPP,197422,Christine SCHNEIDER,Member,2019-07-02,
Group of the European United Left,GUE/NGL,96646,Helmut SCHOLZ,Member,2019-07-02,2020-12-17
The Left group in the European Parliament,GUE/NGL,96646,Helmut SCHOLZ,Member,2020-12-18,
Group of the European People's Party,EPP,125030,Annie SCHREIJER-PIERIK,Member,2019-07-02,
Renew Europe Group,RE,197869,Liesje SCHREINEMACHER,Member,2019-07-02,2022-01-09
Group of the European People's Party,EPP,124809,Sven SCHULZE,Member,2019-07-02,2021-09-28
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,124837,Joachim SCHUSTER,Member,2019-07-02,
Group of the European People's Party,EPP,28223,Andreas SCHWAB,Member,2019-07-02,
Group of the Greens/European Free Alliance,Greens/EFA,124942,Molly SCOTT CATO,Vice-Chair,2019-07-02,2020-01-31
Group of the European People's Party,EPP,197425,Ralf SEEKATZ,Member,2019-07-02,
Renew Europe Group,RE,197508,Stéphane SÉJOURNÉ,Member,2019-07-02,2021-10-18
Renew Europe Group,RE,197508,Stéphane SÉJOURNÉ,Chair,2021-10-19,
Renew Europe Group,RE,197418,Monica SEMEDO,Member,2019-07-02,
Group of the Greens/European Free Alliance,Greens/EFA,197423,Nico SEMSROTT,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,197677,Günther SIDL,Member,2019-07-02,
Group of the European People's Party,EPP,197548,Radosław SIKORSKI,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,124747,Pedro SILVA PEREIRA,Member,2019-07-02,
Renew Europe Group,RE,103746,Michal ŠIMEČKA,Member,2019-07-02,2020-02-11
Renew Europe Group,RE,103746,Michal ŠIMEČKA,Vice-Chair,2020-01-12,2021-10-18
Renew Europe Group,RE,103746,Michal ŠIMEČKA,Member,2021-10-19,
Group of the European People's Party,EPP,197426,Sven SIMON,Member,2019-07-02,
Non-attached Members,NI,197935,Ivan Vilibor SINČIĆ,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,96932,Birgit SIPPEL,Member,2019-07-02,
Group of the European People's Party,EPP,197390,Sara SKYTTEDAL,Member,2019-07-02,
European Conservatives and Reformists Group,ECR,197849,Andrey SLABAKOV,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,197791,Massimiliano SMERIGLIO,Member,2019-07-02,
Group of the Greens/European Free Alliance,Greens/EFA,28508,Alyn SMITH,First Vice-Chair,2019-07-02,2019-12-12
Identity and Democracy Group,ID,204334,Vincenzo SOFO,Member,2020-02-01,2021-02-22
European Conservatives and Reformists Group,ECR,204334,Vincenzo SOFO,Member,2021-02-23,
Group of the European People's Party,EPP,124710,Michaela ŠOJDROVÁ,Member,2019-07-02,
Group of the European People's Party,EPP,197417,Tomislav SOKOL,Member,2019-07-02,
Group of the Greens/European Free Alliance,Greens/EFA,185974,Jordi SOLÉ,Member,2020-07-23,2022-01-10
Group of the Greens/European Free Alliance,Greens/EFA,185974,Jordi SOLÉ,Vice-Chair,2022-01-11,
Renew Europe Group,RE,197784,Susana SOLÍS PÉREZ,Member,2019-07-02,
Non-attached Members,NI,124834,Martin SONNEBORN,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,197550,Sylwia SPUREK,Member,2019-07-02,2020-09-29
Group of the Greens/European Free Alliance,Greens/EFA,197550,Sylwia SPUREK,Member,2020-09-30,
Group of the European People's Party,EPP,125064,Maria SPYRAKI,Member,2019-07-02,
European Conservatives and Reformists Group,ECR,197825,Raffaele STANCANELLI,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,124852,Sergei STANISHEV,Member,2019-07-02,
Group of the European People's Party,EPP,239271,Eleni STAVROU,Member,2022-11-02,
Non-attached Members,NI,197814,Louis STEDMAN-BRYCE,Member,2019-07-02,2020-01-31
Group of the European People's Party,EPP,124929,Ivan ŠTEFANEC,Member,2019-07-02,
Renew Europe Group,RE,58766,Nicolae ŞTEFĂNUȚĂ,Member,2019-07-02,2023-03-07
Group of the Greens/European Free Alliance,Greens/EFA,58766,Nicolae ŞTEFĂNUȚĂ,Member,2023-03-08,
European Conservatives and Reformists Group,ECR,197399,Jessica STEGRUD,Member,2019-07-02,2022-09-25
Group of the Greens/European Free Alliance,Greens/EFA,197772,Tineke STRIK,Member,2019-07-02,
Renew Europe Group,RE,134605,Ramona STRUGARIU,Member,2019-07-02,
Group of the European People's Party,EPP,119434,Dubravka ŠUICA,First Vice-Chair,2019-07-02,2019-11-30
Group of the European People's Party,EPP,23821,József SZÁJER,Member,2019-07-02,2021-01-01
European Conservatives and Reformists Group,ECR,197553,Beata SZYDŁO,Member,2019-07-02,2019-11-20
European Conservatives and Reformists Group,ECR,197553,Beata SZYDŁO,Member of the Bureau,2019-11-21,2020-03-09
European Conservatives and Reformists Group,ECR,197553,Beata SZYDŁO,Vice-Chair,2020-03-10,
Renew Europe Group,RE,204331,Linea SØGAARD-LIDELL,Member,2020-02-01,2022-11-14
Group of the European People's Party,EPP,2187,Antonio TAJANI,Member,2019-07-02,2022-10-12
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,125020,Paul TANG,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,29579,Marc TARABELLA,Member,2019-07-02,2023-01-18
Non-attached Members,NI,29579,Marc TARABELLA,Member,2023-01-19,
European Conservatives and Reformists Group,ECR,204346,Dominik TARCZYŃSKI,Member,2020-02-01,
Identity and Democracy Group,ID,197806,Annalisa TARDINO,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,197756,Vera TAX,Member,2019-07-02,
Non-attached Members,NI,197705,John David Edward TENNANT,Member,2019-07-02,2020-01-31
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,197655,Cristian TERHEŞ,Member,2019-07-02,2020-05-12
European Conservatives and Reformists Group,ECR,197655,Cristian TERHEŞ,Member of the Bureau,2020-05-14,
Group of the European People's Party,EPP,204449,Riho TERRAS,Member,2020-02-01,
European Conservatives and Reformists Group,ECR,197831,Hermann TERTSCH,Vice-Chair,2019-07-02,
Group of the European People's Party,EPP,197667,Barbara THALER,Member,2019-07-02,
Group of the European People's Party,EPP,96776,Róża THUN UND HOHENSTEIN,Member,2019-07-02,2021-11-09
Renew Europe Group,RE,96776,Róża THUN UND HOHENSTEIN,Member,2021-11-10,
Non-attached Members,NI,197599,Richard TICE,Member,2019-07-02,2020-01-31
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,197591,Irene TINAGLI,Member,2019-07-02,
Group of the European People's Party,EPP,197402,Tomas TOBÉ,Member,2019-07-02,
European Conservatives and Reformists Group,ECR,197559,Grzegorz TOBISZOWSKI,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,28340,Patrizia TOIA,Member,2019-07-02,
Renew Europe Group,RE,197547,Irène TOLLERET,Member,2019-07-02,
Group of the European People's Party,EPP,197672,Eugen TOMAC,Member,2019-07-02,
European Conservatives and Reformists Group,ECR,119431,Ruža TOMAŠIĆ,Member of the Bureau,2019-07-02,2021-06-30
European Conservatives and Reformists Group,ECR,96697,Waldemar TOMASZEWSKI,Member of the Bureau,2019-07-02,
Group of the European People's Party,EPP,125104,Romana TOMC,Member,2019-07-02,
Renew Europe Group,RE,124700,Yana TOOM,Member,2019-07-02,
Renew Europe Group,RE,114268,Nils TORVALDS,Member,2019-07-02,
European Conservatives and Reformists Group,ECR,96713,Evžen TOŠENOVSKÝ,Member,2019-07-02,
Group of the European People's Party,EPP,27714,Edina TÓTH,Member,2019-07-02,2021-03-04
Non-attached Members,NI,27714,Edina TÓTH,Member,2021-03-05,
Group of the Greens/European Free Alliance,Greens/EFA,97236,Marie TOUSSAINT,Member,2019-07-02,2022-01-10
Group of the Greens/European Free Alliance,Greens/EFA,97236,Marie TOUSSAINT,Vice-Chair,2022-01-11,
Identity and Democracy Group,ID,197580,Isabella TOVAGLIERI,Member,2019-07-02,
Renew Europe Group,RE,197593,Véronique TRILLET-LENOIR,Member,2019-07-02,2023-08-09
Group of the European People's Party,EPP,197894,László TRÓCSÁNYI,Member,2019-07-02,2021-03-04
Non-attached Members,NI,197894,László TRÓCSÁNYI,Member,2021-03-05,
Renew Europe Group,RE,197665,Dragoş TUDORACHE,Member,2019-07-02,2021-10-18
Renew Europe Group,RE,197665,Dragoş TUDORACHE,Vice-Chair,2021-10-19,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,198183,Mihai TUDOSE,Member,2019-07-02,
Non-attached Members,NI,197763,Milan UHRÍK,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,124705,István UJHELYI,Member,2019-07-02,
Group of the European United Left,GUE/NGL,131507,Miguel URBÁN CRESPO,Member,2019-07-02,2020-12-17
The Left group in the European Parliament,GUE/NGL,131507,Miguel URBÁN CRESPO,Member,2020-12-18,
Group of the Greens/European Free Alliance,Greens/EFA,124972,Ernest URTASUN,Vice-Chair,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,197810,Nils UŠAKOVS,Member,2019-07-02,
Renew Europe Group,RE,96698,Viktor USPASKICH,Member,2019-07-02,2021-01-20
Non-attached Members,NI,96698,Viktor USPASKICH,Member,2021-01-21,
Group of the European People's Party,EPP,28617,Inese VAIDERE,Member,2019-07-02,
Group of the European People's Party,EPP,37324,Adina-Ioana VĂLEAN,Member,2019-07-02,2019-11-30
Group of the Greens/European Free Alliance,Greens/EFA,124934,Monika VANA,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,5729,Kathleen VAN BREMPT,Member,2019-07-02,
Identity and Democracy Group,ID,185771,Tom VANDENDRIESSCHE,Member,2019-07-02,
Group of the European People's Party,EPP,129164,Tom VANDENKENDELAERE,Member,2021-01-26,
European Conservatives and Reformists Group,ECR,4513,Geoffrey VAN ORDEN,Member of the Bureau,2019-07-02,2020-01-31
European Conservatives and Reformists Group,ECR,125106,Johan VAN OVERTVELDT,Member of the Bureau,2019-07-02,
Group of the Greens/European Free Alliance,Greens/EFA,197870,Kim VAN SPARRENTAK,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,239257,Achille VARIATI,Member,2022-11-02,
Renew Europe Group,RE,130100,Hilde VAUTMANS,Member,2019-07-02,
Renew Europe Group,RE,197502,Marie-Pierre VEDRENNE,Member,2019-07-02,
European Conservatives and Reformists Group,ECR,197747,Kyriakos VELOPOULOS,Member of the Bureau,2019-07-02,2019-07-06
Group of the European People's Party,EPP,96756,Sabine VERHEYEN,Member,2019-07-02,
Renew Europe Group,RE,97058,Guy VERHOFSTADT,Member,2019-07-02,
Identity and Democracy Group,ID,125001,Harald VILIMSKY,Member of the Bureau,2019-07-02,
Group of the European United Left,GUE/NGL,197827,Idoia VILLANUEVA RUIZ,Member,2019-07-02,2020-12-17
The Left group in the European Parliament,GUE/NGL,197827,Idoia VILLANUEVA RUIZ,Member,2020-12-18,
Group of the European United Left,GUE/NGL,197571,Nikolaj VILLUMSEN,Vice-Chair,2019-07-02,2020-12-17
The Left group in the European Parliament,GUE/NGL,197571,Nikolaj VILLUMSEN,Vice-Chair,2020-12-18,
Group of the European People's Party,EPP,98582,Loránt VINCZE,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,199941,Marianne VIND,Member,2019-07-02,
Group of the European People's Party,EPP,124726,Henna VIRKKUNEN,Member,2019-07-02,
Identity and Democracy Group,ID,124875,Anders VISTISEN,Member,2022-11-22,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,197844,Petar VITANOV,Member,2019-07-02,
Renew Europe Group,RE,197749,Caroline VOADEN,Member,2019-07-02,2020-01-31
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,197678,Bettina VOLLATH,Member,2019-07-02,2022-10-09
Group of the Greens/European Free Alliance,Greens/EFA,197451,Viola VON CRAMON-TAUBADEL,Member,2019-07-02,
European Conservatives and Reformists Group,ECR,197537,Alexandr VONDRA,Member,2019-07-02,
Renew Europe Group,RE,197625,Irina VON WIESE,Member,2019-07-02,2020-01-31
Group of the European People's Party,EPP,96761,Axel VOSS,Member,2019-07-02,
Group of the European People's Party,EPP,125065,Elissavet VOZEMBERG-VRIONIDI,Member,2019-07-02,
European Conservatives and Reformists Group,ECR,197552,Veronika VRECIONOVÁ,Member,2019-07-02,2020-03-09
European Conservatives and Reformists Group,ECR,197552,Veronika VRECIONOVÁ,Member of the Bureau,2020-03-10,2022-04-04
European Conservatives and Reformists Group,ECR,197552,Veronika VRECIONOVÁ,Vice-Chair,2022-04-05,2023-06-12
European Conservatives and Reformists Group,ECR,197552,Veronika VRECIONOVÁ,Member of the Bureau,2023-06-13,
Identity and Democracy Group,ID,197798,Lucia VUOLO,Member,2019-07-02,2021-06-03
Non-attached Members,NI,197798,Lucia VUOLO,Member,2021-06-04,2021-09-09
Group of the European People's Party,EPP,197798,Lucia VUOLO,Member,2021-09-10,
Renew Europe Group,RE,204400,Adrián VÁZQUEZ LÁZARA,Member,2020-02-04,
Group of the Greens/European Free Alliance,Greens/EFA,190464,Thomas WAITZ,Member,2020-02-01,
Group of the European United Left,GUE/NGL,197817,Mick WALLACE,Member,2019-07-02,2020-12-17
The Left group in the European Parliament,GUE/NGL,197817,Mick WALLACE,Member,2020-12-18,
Group of the European People's Party,EPP,197863,Maria WALSH,Member,2019-07-02,
Group of the European People's Party,EPP,197429,Marion WALSMANN,Member,2019-07-02,
Group of the European People's Party,EPP,197405,Jörgen WARBORN,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,124963,Julie WARD,Member,2019-07-02,2020-01-31
European Conservatives and Reformists Group,ECR,197566,Witold Jan WASZCZYKOWSKI,Member,2019-07-02,
Group of the European People's Party,EPP,28229,Manfred WEBER,Chair,2019-07-02,
European Conservatives and Reformists Group,ECR,123562,Charlie WEIMERS,Member,2019-07-02,2022-04-04
European Conservatives and Reformists Group,ECR,123562,Charlie WEIMERS,Vice-Chair,2022-04-05,
Group of the European People's Party,EPP,197515,Pernille WEISS,Member,2019-07-02,
Non-attached Members,NI,197757,James WELLS,Member,2019-07-02,2020-01-31
