epgroup_name,epgroup_abbr,person_official_id,person_name,membership_type,start_date,end_date
Renew Europe Group,RE,124693,Pascal DURAND,Member,2019-07-02,2022-11-29
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,124693,Pascal DURAND,Member,2022-11-30,
European Conservatives and Reformists Group,ECR,197766,Lucia ĎURIŠ NICHOLSONOVÁ,Member of the Bureau,2019-07-02,2021-05-19
Renew Europe Group,RE,197766,Lucia ĎURIŠ NICHOLSONOVÁ,Member,2021-05-20,
European Conservatives and Reformists Group,ECR,124873,Angel DZHAMBAZKI,Co-Treasurer,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,237465,Matthias ECKE,Member,2022-10-03,
Group of the European People's Party,EPP,197643,Karoline EDTSTADLER,Member,2019-07-02,2020-01-06
Group of the European People's Party,EPP,28226,Christian EHLER,Member,2019-07-02,
Group of the Greens/European Free Alliance,Greens/EFA,96725,Bas EICKHOUT,Vice-Chair,2019-07-02,
Non-attached Members,NI,209091,Cyrus ENGERER,Member,2020-11-05,2020-11-10
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,209091,Cyrus ENGERER,Member,2020-11-11,
Non-attached Members,NI,197803,Andrew ENGLAND KERR,Member,2019-07-02,2020-01-31
European Conservatives and Reformists Group,ECR,97133,Derk Jan EPPINK,First Vice-Chair,2019-07-02,2021-03-30
Group of the European United Left,GUE/NGL,96852,Cornelia ERNST,Member,2019-07-02,2020-12-17
The Left group in the European Parliament,GUE/NGL,96852,Cornelia ERNST,Member,2020-12-18,
Renew Europe Group,RE,197430,Engin EROGLU,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,96842,Ismail ERTUG,Vice-Chair,2019-07-02,2021-12-14
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,96842,Ismail ERTUG,Member,2021-12-15,2023-07-02
Group of the European People's Party,EPP,96811,Rosa ESTARÀS FERRAGUT,Member,2019-07-02,
Group of the Greens/European Free Alliance,Greens/EFA,4550,Jill EVANS,Member,2019-07-02,2020-01-31
Non-attached Members,NI,124779,Eleonora EVI,Member,2019-07-02,2020-12-08
Group of the Greens/European Free Alliance,Greens/EFA,124779,Eleonora EVI,Member,2020-12-09,2022-10-12
Group of the European People's Party,EPP,197535,Agnès EVREN,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,96911,Tanja FAJON,Member,2019-07-02,2022-05-12
Group of the European People's Party,EPP,197649,Gheorghe FALCĂ,Member,2019-07-02,
Non-attached Members,NI,4525,Nigel FARAGE,Member,2019-07-02,2020-01-31
Renew Europe Group,RE,197589,Laurence FARRENG,Member,2019-07-02,
Renew Europe Group,RE,124989,Fredrick FEDERLEY,Vice-Chair,2019-07-02,2020-12-12
Group of the European People's Party,EPP,1917,Markus FERBER,Member,2019-07-02,
Group of the European People's Party,EPP,96899,José Manuel FERNANDES,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,125046,Jonás FERNÁNDEZ,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,192634,Giuseppe FERRANDINO,Member,2019-07-02,2022-11-08
Renew Europe Group,RE,192634,Giuseppe FERRANDINO,Member,2022-11-09,
Non-attached Members,NI,124833,Laura FERRARA,Member,2019-07-02,
Group of the European United Left,GUE/NGL,96706,João FERREIRA,Vice-Chair,2019-07-02,2020-12-17
The Left group in the European Parliament,GUE/NGL,96706,João FERREIRA,Vice-Chair,2020-12-18,2021-07-05
Identity and Democracy Group,ID,197480,Nicolaus FEST,Member,2019-07-02,
